subject_category	subject_id	subject_label	subject_type	predicate_id	object_id	object_label	object_type	confidence	comment	mapping_justification	mapping_date	creator_id
Common Properties	schema:name	name	schema:Text	skos:exactMatch	res:title	title	xs:string	1	Definitions and types match.	semapv:ManualMappingCuration	2023-08-22	https://orcid.org/0000-0003-2261-9931
Common Properties	schema:description	description	schema:Text	skos:broadMatch	res:abstract	abstract	txt:TextType	1	Definitions match but object type is broader.	semapv:ManualMappingCuration	2023-08-22	https://orcid.org/0000-0003-2261-9931
Common Properties	schema:url	url	schema:URL	skos:exactMatch	sssom:NoMapping			1	No match can be found.	semapv:ManualMappingCuration	2023-08-22	https://orcid.org/0000-0003-2261-9931
Common Properties	schema:sameAs	sameAs	schema:URL	skos:exactMatch	sssom:NoMapping			1	No match can be found.	semapv:ManualMappingCuration	2023-08-22	https://orcid.org/0000-0003-2261-9931
Common Properties	schema:version	version	schema:Number schema:Text	skos:exactMatch	sssom:NoMapping			1	No match can be found.	semapv:ManualMappingCuration	2023-08-22	https://orcid.org/0000-0003-2261-9931
Common Properties	schema:isAccessibleForFree	isAccessibleForFree	schema:Boolean	skos:exactMatch	sssom:NoMapping			1	No match can be found.	semapv:ManualMappingCuration	2023-08-22	https://orcid.org/0000-0003-2261-9931
Keywords	schema:keywords	keywords	schema:Text	skos:exactMatch	res:keyword	keyword	i18nNonEmptyStringType	1	Definitions and types match.	semapv:ManualMappingCuration	2023-08-23	https://orcid.org/0000-0003-2261-9931
Keywords	schema:keywords/schema:DefinedTerm/schema:name	name	schema:Text	skos:exactMatch	sem:valueURI/sem:label	label	xs:string	1	Definitions and types match.  Note, a synonym of the object may also exist at eml:annotations.	semapv:ManualMappingCuration	2023-08-23	https://orcid.org/0000-0003-2261-9931
Keywords	schema:keywords/schema:DefinedTerm/schema:url	url	schema:URL	skos:narrowMatch	sem:valueURI	valueURI	xs:anyURI	1	Definitions match but object type is narrower.   Note, a synonym of the object may also exist at eml:annotations.	semapv:ManualMappingCuration	2023-08-23	https://orcid.org/0000-0003-2261-9931
Keywords	schema:keywords/schema:DefinedTerm/schema:inDefinedTermSet	inDefinedTermSet	schema:DefinedTermSet schema:URL	skos:exactMatch	sssom:NoMapping			1	No match can be found.	semapv:ManualMappingCuration	2023-08-23	https://orcid.org/0000-0003-2261-9931
Keywords	schema:keywords/schema:DefinedTerm/schema:termCode	termCode	schema:Text	skos:exactMatch	sssom:NoMapping			1	No match can be found.	semapv:ManualMappingCuration	2023-08-23	https://orcid.org/0000-0003-2261-9931
